"year","treatment","species","abundance","energy"
"1981","control","PH",0,0
"1981","control","PI",0,0
"1981","control","PL",0,0
"1981","control","PM",1,61.6979448064802
"1981","control","PP",16,651.772231055087
"1981","control","RF",0,0
"1981","control","RM",9,306.042305260884
"1981","control","RO",0,0
"1981","control","SF",0,0
"1981","control","SH",0,0
"1981","control","SO",0,0
"1981","exclosure","BA",0,0
"1981","exclosure","DM",0,0
"1981","exclosure","DO",0,0
"1981","exclosure","DS",0,0
"1981","exclosure","NA",7,1858.93923330483
"1981","exclosure","OL",4,287.012327759034
"1981","exclosure","OT",9,592.115986629098
"1981","exclosure","PB",0,0
"1981","exclosure","PE",11,553.193755333745
"1981","exclosure","PF",21,534.072871647293
"1981","exclosure","PH",0,0
"1981","exclosure","PI",0,0
"1981","exclosure","PL",0,0
"1981","exclosure","PM",11,569.004669593726
"1981","exclosure","PP",0,0
"1981","exclosure","RF",0,0
"1981","exclosure","RM",17,584.684484890553
"1981","exclosure","RO",0,0
"1981","exclosure","SF",0,0
"1981","exclosure","SH",0,0
"1981","exclosure","SO",0,0
"1981","removal","BA",0,0
"1981","removal","DM",0,0
"1981","removal","DO",0,0
"1981","removal","DS",1,253.574210279017
"1981","removal","NA",0,0
"1981","removal","OL",3,268.012518787359
"1981","removal","OT",0,0
"1981","removal","PB",0,0
"1981","removal","PE",3,167.240329023487
"1981","removal","PF",0,0
"1981","removal","PH",0,0
"1981","removal","PI",0,0
"1981","removal","PL",0,0
"1981","removal","PM",0,0
"1981","removal","PP",0,0
"1981","removal","RF",0,0
"1981","removal","RM",3,119.010537016563
"1981","removal","RO",0,0
"1981","removal","SF",0,0
"1981","removal","SH",0,0
"1981","removal","SO",0,0
"1981","spectabs","BA",0,0
"1981","spectabs","DM",72,6708.9145305405
"1981","spectabs","DO",9,954.554308291159
"1981","spectabs","DS",3,522.984535144505
"1981","spectabs","NA",11,3021.0249994946
"1981","spectabs","OL",1,57.8001914615828
"1981","spectabs","OT",4,229.057763919885
"1981","spectabs","PB",0,0
"1981","spectabs","PE",8,449.887705775721
"1981","spectabs","PF",4,102.932990933679
"1981","spectabs","PH",0,0
"1981","spectabs","PI",0,0
"1981","spectabs","PL",0,0
"1981","spectabs","PM",0,0
"1981","spectabs","PP",0,0
"1981","spectabs","RF",0,0
"1981","spectabs","RM",2,63.9343067525176
"1981","spectabs","RO",0,0
"1981","spectabs","SF",0,0
"1981","spectabs","SH",0,0
"1981","spectabs","SO",0,0
"1982","control","BA",0,0
"1982","control","DM",383,35962.268239203
"1982","control","DO",78,8044.6586097532
"1982","control","DS",278,54821.3983700532
"1982","control","NA",62,15087.5948384952
"1982","control","OL",45,3675.06732801846
"1982","control","OT",52,3331.39914812791
"1982","control","PB",0,0
"1982","control","PE",34,1978.14010389376
"1982","control","PF",50,1202.8291401846
"1982","control","PH",0,0
"1982","control","PI",0,0
"1982","control","PL",0,0
"1982","control","PM",12,683.495243723738
"1982","control","PP",23,1052.81195526424
"1982","control","RF",0,0
"1982","control","RM",46,1492.09736754997
"1982","control","RO",0,0
"1982","control","SF",0,0
"1982","control","SH",2,298.154398062181
"1982","control","SO",0,0
"1982","exclosure","BA",0,0
"1982","exclosure","DM",0,0
"1982","exclosure","DO",0,0
"1982","exclosure","DS",0,0
"1982","exclosure","NA",13,3198.58953143166
"1982","exclosure","OL",3,255.791853951459
"1982","exclosure","OT",10,631.182225072666
"1982","exclosure","PB",0,0
"1982","exclosure","PE",23,1224.70944815053
"1982","exclosure","PF",74,1823.25166682457
"1982","exclosure","PH",0,0
"1982","exclosure","PI",0,0
"1982","exclosure","PL",0,0
"1982","exclosure","PM",29,1665.45607121915
"1982","exclosure","PP",5,203.601191860137
"1982","exclosure","RF",2,71.0540169397726
"1982","exclosure","RM",52,1695.29816560523
"1982","exclosure","RO",0,0
"1982","exclosure","SF",0,0
"1982","exclosure","SH",0,0
"1982","exclosure","SO",0,0
"1982","removal","BA",0,0
"1982","removal","DM",4,372.085493713324
"1982","removal","DO",0,0
"1982","removal","DS",1,206.206103493489
"1982","removal","NA",4,904.850107444503
"1982","removal","OL",0,0
"1982","removal","OT",2,129.019392826233
"1982","removal","PB",0,0
"1982","removal","PE",25,1406.30853175956
"1982","removal","PF",2,53.87792428309
"1982","removal","PH",0,0
"1982","removal","PI",0,0
"1982","removal","PL",0,0
"1982","removal","PM",13,672.501477710004
"1982","removal","PP",2,109.335444329173
"1982","removal","RF",0,0
"1982","removal","RM",37,1244.8667491963
"1982","removal","RO",0,0
"1982","removal","SF",0,0
"1982","removal","SH",0,0
"1982","removal","SO",0,0
"1982","spectabs","BA",0,0
"1982","spectabs","DM",86,7827.28701322858
"1982","spectabs","DO",14,1436.11032354809
"1982","spectabs","DS",6,1024.28532526176
"1982","spectabs","NA",22,6353.63207212786
"1982","spectabs","OL",5,461.895408022694
"1982","spectabs","OT",2,118.744238971607
"1982","spectabs","PB",0,0
"1982","spectabs","PE",14,735.776809130996
"1982","spectabs","PF",1,24.4870121320489
"1982","spectabs","PH",0,0
"1982","spectabs","PI",0,0
"1982","spectabs","PL",0,0
"1982","spectabs","PM",10,579.357657033555
"1982","spectabs","PP",0,0
"1982","spectabs","RF",0,0
"1982","spectabs","RM",9,296.70895493977
"1982","spectabs","RO",0,0
"1982","spectabs","SF",0,0
"1982","spectabs","SH",0,0
"1982","spectabs","SO",0,0
"1983","control","BA",0,0
"1983","control","DM",432,39535.0924156006
"1983","control","DO",155,15894.6414982985
"1983","control","DS",270,56435.9106365989
"1983","control","NA",73,18133.8833641993
"1983","control","OL",43,3490.63765940135
"1983","control","OT",63,3971.81577452268
"1983","control","PB",0,0
"1983","control","PE",14,828.88662807398
"1983","control","PF",58,1388.43239966145
"1983","control","PH",0,0
"1983","control","PI",0,0
"1983","control","PL",0,0
"1983","control","PM",6,336.77819564672
"1983","control","PP",25,1132.72564890474
"1983","control","RF",0,0
"1983","control","RM",41,1286.78306202561
"1983","control","RO",0,0
"1983","control","SF",0,0
"1983","control","SH",0,0
"1983","control","SO",0,0
"1983","exclosure","BA",0,0
"1983","exclosure","DM",10,978.312387139579
"1983","exclosure","DO",0,0
"1983","exclosure","DS",0,0
"1983","exclosure","NA",13,3181.48800220159
"1983","exclosure","OL",13,1042.04971949744
"1983","exclosure","OT",14,863.088785678671
"1983","exclosure","PB",0,0
"1983","exclosure","PE",8,433.760814348502
"1983","exclosure","PF",52,1248.80107281539
"1983","exclosure","PH",0,0
"1983","exclosure","PI",0,0
"1983","exclosure","PL",0,0
"1983","exclosure","PM",17,974.866735012472
"1983","exclosure","PP",6,240.413012800018
"1983","exclosure","RF",0,0
"1983","exclosure","RM",33,987.12048671879
"1983","exclosure","RO",0,0
"1983","exclosure","SF",0,0
"1983","exclosure","SH",2,248.118601353627
"1983","exclosure","SO",0,0
"1983","removal","BA",0,0
"1983","removal","DM",0,0
"1983","removal","DO",0,0
"1983","removal","DS",0,0
"1983","removal","NA",1,246.317323786337
"1983","removal","OL",0,0
"1983","removal","OT",1,49.7240672582641
"1983","removal","PB",0,0
"1983","removal","PE",8,423.228529523908
"1983","removal","PF",1,24.4870121320489
"1983","removal","PH",0,0
"1983","removal","PI",0,0
"1983","removal","PL",0,0
"1983","removal","PM",9,488.042295684911
"1983","removal","PP",1,43.3691300549964
"1983","removal","RF",0,0
"1983","removal","RM",38,1294.23672638088
"1983","removal","RO",0,0
"1983","removal","SF",0,0
"1983","removal","SH",0,0
"1983","removal","SO",0,0
"1983","spectabs","BA",0,0
"1983","spectabs","DM",86,8040.93052068303
"1983","spectabs","DO",12,1164.26409354764
"1983","spectabs","DS",10,1913.59507381021
"1983","spectabs","NA",11,2884.18515921932
"1983","spectabs","OL",9,726.65250007382
"1983","spectabs","OT",8,519.771101895086
"1983","spectabs","PB",0,0
"1983","spectabs","PE",8,418.136488254943
"1983","spectabs","PF",3,73.1931424431362
"1983","spectabs","PH",0,0
"1983","spectabs","PI",0,0
"1983","spectabs","PL",0,0
"1983","spectabs","PM",10,623.180659024402
"1983","spectabs","PP",0,0
"1983","spectabs","RF",0,0
"1983","spectabs","RM",14,422.39454281288
"1983","spectabs","RO",0,0
"1983","spectabs","SF",0,0
"1983","spectabs","SH",0,0
"1983","spectabs","SO",0,0
"1984","control","BA",0,0
"1984","control","DM",265,24094.3519339564
"1984","control","DO",76,7913.84110630714
"1984","control","DS",63,13290.6437871941
"1984","control","NA",36,7849.95717878516
"1984","control","OL",37,2823.01060284416
"1984","control","OT",31,1777.24198169925
"1984","control","PB",0,0
"1984","control","PE",9,513.333014816777
"1984","control","PF",1,24.4870121320489
"1984","control","PH",1,74.7538451814357
"1984","control","PI",0,0
"1984","control","PL",0,0
"1984","control","PM",4,197.653932698562
"1984","control","PP",13,535.56852164105
"1984","control","RF",0,0
"1984","control","RM",11,397.936411380649
"1984","control","RO",0,0
"1984","control","SF",0,0
"1984","control","SH",0,0
"1984","control","SO",0,0
"1984","exclosure","BA",0,0
"1984","exclosure","DM",3,247.35546400086
"1984","exclosure","DO",0,0
"1984","exclosure","DS",0,0
"1984","exclosure","NA",14,4049.05549679488
"1984","exclosure","OL",14,1076.31376782858
"1984","exclosure","OT",8,480.69389648151
"1984","exclosure","PB",0,0
"1984","exclosure","PE",4,202.507638475322
"1984","exclosure","PF",5,130.173086076484
"1984","exclosure","PH",5,338.450465749076
"1984","exclosure","PI",0,0
"1984","exclosure","PL",0,0
"1984","exclosure","PM",4,234.531785994053
"1984","exclosure","PP",10,477.268640398273
"1984","exclosure","RF",0,0
"1984","exclosure","RM",19,632.353953779421
"1984","exclosure","RO",0,0
"1984","exclosure","SF",0,0
"1984","exclosure","SH",0,0
"1984","exclosure","SO",0,0
"1984","removal","BA",0,0
"1984","removal","DM",5,419.01747603941
"1984","removal","DO",0,0
"1984","removal","DS",0,0
"1984","removal","NA",1,210.155664294767
"1984","removal","OL",1,88.7995411482622
"1984","removal","OT",1,59.7596635079572
"1984","removal","PB",0,0
"1984","removal","PE",0,0
"1984","removal","PF",0,0
"1984","removal","PH",0,0
"1984","removal","PI",0,0
"1984","removal","PL",0,0
"1984","removal","PM",1,57.2237090268773
"1984","removal","PP",0,0
"1984","removal","RF",0,0
"1984","removal","RM",23,777.655234946915
"1984","removal","RO",0,0
"1984","removal","SF",0,0
"1984","removal","SH",0,0
"1984","removal","SO",0,0
"1984","spectabs","BA",0,0
"1984","spectabs","DM",50,4473.61124900459
"1984","spectabs","DO",6,569.320592032897
"1984","spectabs","DS",1,211.43580339025
"1984","spectabs","NA",8,2143.17556271921
"1984","spectabs","OL",12,904.368364022369
"1984","spectabs","OT",5,292.222144746096
"1984","spectabs","PB",0,0
"1984","spectabs","PE",2,123.39588961296
"1984","spectabs","PF",0,0
"1984","spectabs","PH",1,71.1067394489141
"1984","spectabs","PI",0,0
"1984","spectabs","PL",0,0
"1984","spectabs","PM",1,51.7818386467049
"1984","spectabs","PP",1,43.3691300549964
"1984","spectabs","RF",0,0
"1984","spectabs","RM",3,121.070280911545
"1984","spectabs","RO",0,0
"1984","spectabs","SF",0,0
"1984","spectabs","SH",0,0
"1984","spectabs","SO",0,0
"1985","control","BA",0,0
"1985","control","DM",423,39000.4532477279
"1985","control","DO",161,16310.9603341538
"1985","control","DS",83,17516.4947066371
"1985","control","NA",34,8238.39819819467
"1985","control","OL",53,4151.88660457871
"1985","control","OT",43,2458.44321237767
"1985","control","PB",0,0
"1985","control","PE",26,1424.52112552783
"1985","control","PF",0,0
"1985","control","PH",0,0
"1985","control","PI",0,0
"1985","control","PL",0,0
"1985","control","PM",4,210.92034706703
"1985","control","PP",11,490.451981566555
"1985","control","RF",0,0
"1985","control","RM",8,218.810554298514
"1985","control","RO",0,0
"1985","control","SF",0,0
"1985","control","SH",0,0
"1985","control","SO",0,0
"1985","exclosure","BA",0,0
"1985","exclosure","DM",31,2808.80591876245
"1985","exclosure","DO",0,0
"1985","exclosure","DS",0,0
"1985","exclosure","NA",7,1805.16804391791
"1985","exclosure","OL",6,442.744879540619
"1985","exclosure","OT",4,242.832650842904
"1985","exclosure","PB",0,0
"1985","exclosure","PE",7,368.554883151661
"1985","exclosure","PF",1,27.0663539374619
"1985","exclosure","PH",3,233.170702312967
"1985","exclosure","PI",0,0
"1985","exclosure","PL",0,0
"1985","exclosure","PM",7,324.771499615297
"1985","exclosure","PP",16,737.909335080596
"1985","exclosure","RF",0,0
"1985","exclosure","RM",26,674.137316802651
"1985","exclosure","RO",0,0
"1985","exclosure","SF",0,0
"1985","exclosure","SH",0,0
"1985","exclosure","SO",0,0
"1985","removal","BA",0,0
"1985","removal","DM",12,1064.05289599648
"1985","removal","DO",1,97.2079476020466
"1985","removal","DS",0,0
"1985","removal","NA",0,0
"1985","removal","OL",3,250.734619254821
"1985","removal","OT",4,221.218664025773
"1985","removal","PB",0,0
"1985","removal","PE",10,544.938027768504
"1985","removal","PF",0,0
"1985","removal","PH",0,0
"1985","removal","PI",0,0
"1985","removal","PL",0,0
"1985","removal","PM",0,0
"1985","removal","PP",0,0
"1985","removal","RF",0,0
"1985","removal","RM",30,911.790522312571
"1985","removal","RO",0,0
"1985","removal","SF",0,0
"1985","removal","SH",0,0
"1985","removal","SO",0,0
"1985","spectabs","BA",0,0
"1985","spectabs","DM",72,6584.67750709247
"1985","spectabs","DO",21,2238.24096312046
"1985","spectabs","DS",0,0
"1985","spectabs","NA",2,492.310908263377
"1985","spectabs","OL",17,1189.02547204739
"1985","spectabs","OT",5,305.655094427307
"1985","spectabs","PB",0,0
"1985","spectabs","PE",4,212.899121622582
"1985","spectabs","PF",0,0
"1985","spectabs","PH",0,0
"1985","spectabs","PI",0,0
"1985","spectabs","PL",0,0
"1985","spectabs","PM",0,0
"1985","spectabs","PP",2,97.3615667809565
"1985","spectabs","RF",0,0
"1985","spectabs","RM",4,94.5397291414362
"1985","spectabs","RO",0,0
"1985","spectabs","SF",0,0
"1985","spectabs","SH",0,0
"1985","spectabs","SO",0,0
"1986","control","BA",0,0
"1986","control","DM",340,32827.6344997792
"1986","control","DO",91,9607.72022762118
"1986","control","DS",88,19002.1784798597
"1986","control","NA",50,12962.3033654656
"1986","control","OL",37,2771.26333587374
"1986","control","OT",13,800.913618200401
"1986","control","PB",0,0
"1986","control","PE",14,804.048461512195
"1986","control","PF",0,0
"1986","control","PH",0,0
"1986","control","PI",0,0
"1986","control","PL",0,0
"1986","control","PM",13,738.712217399305
"1986","control","PP",8,356.383932786713
"1986","control","RF",0,0
"1986","control","RM",9,327.2608869623
"1986","control","RO",0,0
"1986","control","SF",0,0
"1986","control","SH",0,0
"1986","control","SO",0,0
"1986","exclosure","BA",0,0
"1986","exclosure","DM",1,71.1067394489141
"1986","exclosure","DO",0,0
"1986","exclosure","DS",0,0
"1986","exclosure","NA",9,2164.43718927444
"1986","exclosure","OL",5,347.813017002907
"1986","exclosure","OT",7,356.492036155331
"1986","exclosure","PB",0,0
"1986","exclosure","PE",2,121.416325421452
"1986","exclosure","PF",2,54.0531194172496
"1986","exclosure","PH",1,88.7995411482622
"1986","exclosure","PI",0,0
"1986","exclosure","PL",0,0
"1986","exclosure","PM",18,1033.10285395261
"1986","exclosure","PP",18,874.585328053495
"1986","exclosure","RF",0,0
"1986","exclosure","RM",16,544.863947511485
"1986","exclosure","RO",0,0
"1986","exclosure","SF",0,0
"1986","exclosure","SH",1,114.91700096632
"1986","exclosure","SO",0,0
"1986","removal","BA",0,0
"1986","removal","DM",0,0
"1986","removal","DO",3,336.47063091914
"1986","removal","DS",0,0
"1986","removal","NA",0,0
"1986","removal","OL",1,74.9829086817215
"1986","removal","OT",4,191.379215655483
"1986","removal","PB",0,0
"1986","removal","PE",8,471.694842218286
"1986","removal","PF",0,0
"1986","removal","PH",0,0
"1986","removal","PI",0,0
"1986","removal","PL",0,0
"1986","removal","PM",2,117.516261765223
"1986","removal","PP",0,0
"1986","removal","RF",0,0
"1986","removal","RM",28,924.491094991212
"1986","removal","RO",0,0
"1986","removal","SF",0,0
"1986","removal","SH",0,0
"1986","removal","SO",0,0
"1986","spectabs","BA",0,0
"1986","spectabs","DM",65,6055.97119428039
"1986","spectabs","DO",21,2211.84533146464
"1986","spectabs","DS",0,0
"1986","spectabs","NA",1,229.098149462921
"1986","spectabs","OL",0,0
"1986","spectabs","OT",1,67.3961502032971
"1986","spectabs","PB",0,0
"1986","spectabs","PE",2,129.131365070847
"1986","spectabs","PF",0,0
"1986","spectabs","PH",0,0
"1986","spectabs","PI",0,0
"1986","spectabs","PL",0,0
"1986","spectabs","PM",1,49.7240672582641
"1986","spectabs","PP",0,0
"1986","spectabs","RF",0,0
"1986","spectabs","RM",0,0
"1986","spectabs","RO",0,0
"1986","spectabs","SF",0,0
"1986","spectabs","SH",0,0
"1986","spectabs","SO",0,0
"1987","control","BA",0,0
"1987","control","DM",420,40337.6423235621
"1987","control","DO",165,17538.3533683365
"1987","control","DS",104,22143.1650536838
"1987","control","NA",101,25333.4889590162
"1987","control","OL",69,5120.44283251301
"1987","control","OT",30,1793.84044964164
"1987","control","PB",0,0
"1987","control","PE",81,4608.88912993715
"1987","control","PF",2,48.9740242640977
"1987","control","PH",0,0
"1987","control","PI",0,0
"1987","control","PL",0,0
"1987","control","PM",33,1997.58936915768
"1987","control","PP",16,779.765299749906
"1987","control","RF",0,0
"1987","control","RM",48,1558.49770090336
"1987","control","RO",0,0
"1987","control","SF",0,0
"1987","control","SH",3,452.795994459655
"1987","control","SO",0,0
"1987","exclosure","BA",0,0
"1987","exclosure","DM",1,92.1934694843704
"1987","exclosure","DO",0,0
"1987","exclosure","DS",0,0
"1987","exclosure","NA",14,3461.37468971139
"1987","exclosure","OL",3,207.712852421091
"1987","exclosure","OT",8,483.350856662996
"1987","exclosure","PB",0,0
"1987","exclosure","PE",22,1159.9641630154
"1987","exclosure","PF",0,0
"1987","exclosure","PH",0,0
"1987","exclosure","PI",0,0
"1987","exclosure","PL",0,0
"1987","exclosure","PM",45,2539.05563441218
"1987","exclosure","PP",26,1281.60204266894
"1987","exclosure","RF",0,0
"1987","exclosure","RM",76,2533.44961648154
"1987","exclosure","RO",0,0
"1987","exclosure","SF",0,0
"1987","exclosure","SH",1,149.342431655497
"1987","exclosure","SO",0,0
"1987","removal","BA",0,0
"1987","removal","DM",0,0
"1987","removal","DO",16,1734.53975560629
"1987","removal","DS",0,0
"1987","removal","NA",4,1065.27800006605
"1987","removal","OL",0,0
"1987","removal","OT",0,0
"1987","removal","PB",0,0
"1987","removal","PE",31,1861.3123560784
"1987","removal","PF",0,0
"1987","removal","PH",0,0
"1987","removal","PI",0,0
"1987","removal","PL",0,0
"1987","removal","PM",45,2558.1218007166
"1987","removal","PP",0,0
"1987","removal","RF",0,0
"1987","removal","RM",58,1996.83487023661
"1987","removal","RO",0,0
"1987","removal","SF",0,0
"1987","removal","SH",0,0
"1987","removal","SO",0,0
"1987","spectabs","BA",0,0
"1987","spectabs","DM",47,4338.33228205938
"1987","spectabs","DO",32,3532.41831559142
"1987","spectabs","DS",0,0
"1987","spectabs","NA",9,2364.83913178995
"1987","spectabs","OL",7,537.932129955549
"1987","spectabs","OT",5,284.960533687278
"1987","spectabs","PB",0,0
"1987","spectabs","PE",8,448.157792225487
"1987","spectabs","PF",2,54.1327078749239
"1987","spectabs","PH",0,0
"1987","spectabs","PI",0,0
"1987","spectabs","PL",0,0
"1987","spectabs","PM",10,593.283380829651
"1987","spectabs","PP",3,155.151014511023
"1987","spectabs","RF",0,0
"1987","spectabs","RM",7,232.799124780767
"1987","spectabs","RO",0,0
"1987","spectabs","SF",0,0
"1987","spectabs","SH",1,110.18304597148
"1987","spectabs","SO",0,0
"1988","control","BA",0,0
"1988","control","DM",259,24885.874782083
"1988","control","DO",101,11112.6005897875
"1988","control","DS",44,9630.05838282907
"1988","control","NA",38,9560.58814119096
"1988","control","OL",26,1991.13100402916
"1988","control","OT",33,2082.61654651214
"1988","control","PB",0,0
"1988","control","PE",45,2581.17076211131
"1988","control","PF",1,27.0663539374619
"1988","control","PH",1,78.3425532205783
"1988","control","PI",0,0
"1988","control","PL",0,0
"1988","control","PM",1,51.7818386467049
"1988","control","PP",9,438.569698696173
"1988","control","RF",2,80.1376709333393
"1988","control","RM",32,1031.87201068003
"1988","control","RO",0,0
"1988","control","SF",0,0
"1988","control","SH",10,1361.46019739281
"1988","control","SO",0,0
"1988","exclosure","BA",0,0
"1988","exclosure","DM",25,2348.40472315902
"1988","exclosure","DO",12,1278.90755402526
"1988","exclosure","DS",0,0
"1988","exclosure","NA",35,8986.96238188737
"1988","exclosure","OL",10,686.271849646702
"1988","exclosure","OT",41,2471.17815650503
"1988","exclosure","PB",0,0
"1988","exclosure","PE",71,4127.22238477612
"1988","exclosure","PF",0,0
"1988","exclosure","PH",0,0
"1988","exclosure","PI",0,0
"1988","exclosure","PL",0,0
"1988","exclosure","PM",27,1532.43546976657
"1988","exclosure","PP",38,1848.19585979074
"1988","exclosure","RF",6,240.080817928108
"1988","exclosure","RM",78,2543.09475552874
"1988","exclosure","RO",0,0
"1988","exclosure","SF",0,0
"1988","exclosure","SH",18,2524.00095600603
"1988","exclosure","SO",0,0
"1988","removal","BA",0,0
"1988","removal","DM",5,462.100194353959
"1988","removal","DO",11,1186.73162284038
"1988","removal","DS",0,0
"1988","removal","NA",20,5412.88199318194
"1988","removal","OL",2,158.458958381143
"1988","removal","OT",11,689.706969139655
"1988","removal","PB",0,0
"1988","removal","PE",68,4102.00980026954
"1988","removal","PF",1,27.0663539374619
"1988","removal","PH",0,0
"1988","removal","PI",0,0
"1988","removal","PL",0,0
"1988","removal","PM",24,1379.69998634501
"1988","removal","PP",6,340.513807719038
"1988","removal","RF",3,127.635246236486
"1988","removal","RM",94,3104.12361301099
"1988","removal","RO",0,0
"1988","removal","SF",0,0
"1988","removal","SH",3,484.95886538438
"1988","removal","SO",0,0
"1988","spectabs","BA",0,0
